id,name,buffer,feeds,download_date,extract_start_date,lon,lat,license_files,country,publishable
aalborg,Aalborg,10,denmark,2016-12-07,,9.9174160055,57.0411122598,"",Denmark,0
aarhus,Aarhus,20,denmark,2016-12-07,,10.2015055035,56.1556281874,"",Denmark,0
adelaide,Adelaide,40,,2016-12-07,,138.577492474,-34.9212657726,"",Australia,1
amsterdam,Amsterdam,20,netherlands,2016-12-07,,4.8977910914,52.3736801273,"",Netherlands,0
antofagasta,Antofagasta,20,,2016-12-07,,-70.3865345487,-23.6176028052,"",Chile,1
antwerpen,Antwerpen,20,belgium,2016-12-07,,4.4126098192,51.2217444524,"",Belgium,0
athens,Athens,30,,2017-11-22,,23.7213356284,37.9945974766,"",Greece,1
atlanta,Atlanta,50,,2016-12-07,,-84.3576095301,33.7900786619,"",USA,0
auckland,Auckland,30,,2016-12-07,,174.7909321932,-36.8720519609,"",New Zealand,0
austin,Austin,30,,2016-12-07,,-97.7284894399,30.3032748752,"",USA.,0
baltimore,Baltimore,30,maryland;washington_dc,2016-12-07,,-76.6288645356,39.2989921578,"",USA,0
barcelona,Barcelona,30,,2017-03-06,,2.1787704206,41.3798405711,"",Spain,0
basel,Basel,20,switzerland,2016-12-07,,7.5908098855,47.558218122,"",Switzerland,0
bay_area,Bay Area,70,sf_bay_area,2016-12-07,,-122.2122581013,37.6023130374,"",USA,0
belfast,Belfast,30,,2017-10-30,,-5.930410,54.600091,"",Northern Ireland,1
belo_horizonte,Belo Horizonte,20,,2016-12-07,,-43.9564161138,-19.8910318457,"",Brazil,0
bergen,Bergen,10,norway,2017-01-26,,5.3332926209,60.3902975432,"",Norway,0
berlin,Berlin,30,,2016-12-07,,13.4029136992,52.5190044482,"",Germany,1
bern,Bern,10,switzerland,2016-12-07,,7.4476201057,46.9490772291,"",Switzerland,0
bilbao,Bilbao,30,,2016-11-24,,-2.9352670377,43.2628301505,"",Spain,0
bordeaux,Bordeaux,30,bordeaux,2016-12-07,,-0.5750541222,44.8412042216,"",France,1
boston,Boston,30,,2016-12-07,,-71.0790563736,42.3673722729,"",USA,0
brest,Brest,20,brest,2016-12-07,,-4.4669080843,48.3982984888,"",France,0
brisbane,Brisbane,40,south_east_queensland,2016-12-07,,153.0225825521,-27.4579920361,"",Australia,1
brussel,Brussel,30,belgium,2016-12-07,,4.3775786804,50.8494588783,"",Belgium,0
budapest,Budapest,30,,2016-12-07,,19.0584721114,47.4956814335,"",Hungary,0
buffalo,Buffalo,30,,2016-12-07,,-78.8410809499,42.913680961,"",USA,0
calgary,Calgary,30,,2016-11-24,,-114.0578847706,51.0397615702,"",Canada,0
canberra,Canberra,30,canberra;new_south_wales,2016-12-14,,149.1253683622,-35.2766620388,"",Australia,1
charleroi,Charleroi,20,belgium,2016-12-07,,4.4458894011,50.4108746197,"",Belgium,0
chicago,Chicago,60,,2016-12-07,,-87.6908223855,41.8645529485,"",USA,0
cincinnati,Cincinnati,30,,2016-12-07,,-84.489852079,39.1416689699,"",USA,0
cleveland,Cleveland,30,,2016-12-12,,-81.691387,41.501108,"",USA,0
cologne,Cologne,25,,,7.0138673934,50.843986936,"",Germany,0
columbus,Columbus,30,,2016-12-07,,-82.9693911834,40.0061394358,"",USA,0
copenhagen,Copenhagen,20,denmark,2016-12-07,,12.5599769222,55.6904477259,"",Denmark,0
dallas,Dallas,60,,2016-12-07,,-97.0239935363,32.8336202404,"",USA,0
denver,Denver,40,,2016-12-07,,-104.9567949142,39.73610386,"",USA,0
des_moines,Des Moines,30,,2016-12-07,,-93.6733842145,41.5949795482,"",USA,0
detroit,Detroit,30,,2016-12-07,,-83.0807245214,42.3699604575,"license_detroit.txt;cc0_1.0_legalcode.txt",USA,1
dublin,Dublin,20,,2016-12-07,,-6.256561387,53.3496878045,"",Ireland,1
edmonton,Edmonton,30,,2016-12-07,,-113.5113990056,53.5332437153,"",Canada,0
eindhoven,Eindhoven,20,netherlands,2016-12-07,,5.4793079952,51.4406246929,"",Netherlands,0
el_paso,El Paso,30,,2016-07-06,,-106.4519677065,31.7792183302,"",USA,0
fredrikstad-sarpsborg,Fredrikstad-Sarpsborg,10,norway,2017-01-26,,10.9906342055,59.2452858876,"",Norway,0
geneva,Geneva,20,switzerland,2016-12-07,,6.1459943552,46.2080634391,"",Switzerland,0
gent,Gent,20,belgium,2016-12-07,,3.7321299483,51.0428590011,"",Belgium,0
gothenburg,Gothenburg,20,sweden,2016-12-07,,11.9863420246,57.7199611659,"",Sweden,0
grenoble,Grenoble,20,grenoble,2016-12-07,,5.7227744098,45.1771754006,"",France,1
groningen,Groningen,20,netherlands,2016-12-07,,6.5626459622,53.2161708563,"",Netherlands,0
haifa,Haifa,20,israel,2016-12-07,,35.0646373116,32.8310446523,"",Israel,0
hartford,Hartford,20,connecticut,2016-12-07,,-72.681730973,41.7640331486,"",USA,0
helsingborg,Helsingborg,10,sweden,2016-12-07,,12.6957588825,56.0430585776,"",Sweden,0
helsinki,Helsinki,30,helsinki,2016-12-07,,24.9408571473,60.1732561813,"",Finland,1
honolulu,Honolulu,30,honolulu,2016-12-07,,-157.8611297239,21.3237497466,"",USA,0
houston,Houston,50,houston,2016-12-07,,-95.3670206718,29.755512029,"",USA,0
indianapolis,Indianapolis,30,,2016-12-07,,-86.1529553928,39.7886986913,"",USA,0
